PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,populacao,latitude,longitude,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,codigo_ibge,pobres,idhm,rendapercapita,candidaturas_mun
0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,2016,72010,11,,1,62555,-21.9335,-50.5191,SP,TUPÃ,PREFEITO,COLIGACAO,PSDB,UNIÃO E TRABALHO POR TUPÃ,PSDB / PSB / PEN / PRB / PPS / PR / SD / DEM / PHS / PRP / PC do B,,,,,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,72010,11,50,0,62555,-21.9335,-50.5191,SP,TUPÃ,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,3555000,4.98,.77100003,926.96002,5
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2016,72036,11,,1,13029,-21.3825,-51.575001,SP,TUPI PAULISTA,PREFEITO,COLIGACAO,DEM,TODOS UNIDOS POR TUPI PAULISTA,DEM / PDT / PMDB / PR / PRB / PSD / PSDB / PT / PTB / PV / PEN / PSB / PP / PSL,,,,,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,72052,11,,1,1928,-20.942801,-50.113499,SP,TURIÚBA,PREFEITO,COLIGACAO,PSDB,TURIÚBA PARA TODOS,PSDB / PTB / PV / PP,,,,,3
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,72052,11,,1,1928,-20.942801,-50.113499,SP,TURIÚBA,PREFEITO,COLIGACAO,DEM,AVANTE TURIÚBA,DEM / PEN,,,,,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,72052,11,,1,1928,-20.942801,-50.113499,SP,TURIÚBA,PREFEITO,COLIGACAO,PMDB,TURIÚBA: UNIDOS PARA O POVO,PMDB / PPS / PTN,,,,,3
0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,72079,11,,1,1954,-20.048599,-50.479198,SP,TURMALINA,PREFEITO,COLIGACAO,PTB,NOVAMENTE JUNTOS PARA FAZER AINDA MAIS POR TURMALINA,PTB / PSDB / PSD / SD,,,,,3
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,72079,11,11,0,1954,-20.048599,-50.479198,SP,TURMALINA,PREFEITO,PARTIDO ISOLADO,PP,#NULO#,PP,3555307,1.86,.736,725.06,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,72079,11,,1,1954,-20.048599,-50.479198,SP,TURMALINA,PREFEITO,COLIGACAO,PMDB,"A HORA É ESSA, MUDANÇA JÁ",PMDB / PEN / PSB,,,,,3
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2016,72095,11,,1,78243,-23.433201,-45.083401,SP,UBATUBA,PREFEITO,COLIGACAO,PT,SOU POR UBATUBA,PT / PROS / PSDC / PC do B / PR,,,,,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,72095,11,50,0,78243,-23.433201,-45.083401,SP,UBATUBA,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,3555406,8.8800001,.75099999,803.5,7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,72095,11,,1,78243,-23.433201,-45.083401,SP,UBATUBA,PREFEITO,COLIGACAO,PMDB,RESPEITO POR UBATUBA,PMDB / PPS / PPL / PEN,,,,,7
0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,72095,11,,1,78243,-23.433201,-45.083401,SP,UBATUBA,PREFEITO,COLIGACAO,PTN,POR AMOR A UBATUBA,PTN / PSC / PRTB / PSDB / SD / DEM,,,,,7
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,72095,11,,1,78243,-23.433201,-45.083401,SP,UBATUBA,PREFEITO,COLIGACAO,PTB,'COMPROMISSO COM UBATUBA',PTB / PV / PDT / PTC,,,,,7
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,72095,11,,1,78243,-23.433201,-45.083401,SP,UBATUBA,PREFEITO,COLIGACAO,PSL,UBATUBA MERECE MUITO MAIS,PSL / PSB / PT do B,,,,,7
0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2016,72095,11,,1,78243,-23.433201,-45.083401,SP,UBATUBA,PREFEITO,COLIGACAO,PMB,SOMOS TODOS UBATUBA,PMB / PRB / PHS / PRP / PSD / PP,,,,,7
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,72117,11,,1,4418,-22.527201,-49.661301,SP,UBIRAJARA,PREFEITO,COLIGACAO,PMDB,UBIRAJARA NO CAMINHO CERTO,PMDB / DEM / PSB / PV / PSDB,,,,,2
0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,72117,11,,1,4418,-22.527201,-49.661301,SP,UBIRAJARA,PREFEITO,COLIGACAO,PSD,"TRABALHO, TRANSPARENCIA E HONESTIDADE",PSD / PTB / PR / PDT / PP / PRB / PPS,,,,,2
0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,72133,11,,1,9445,-20.951099,-49.171299,SP,UCHOA,PREFEITO,COLIGACAO,PSDB,RENOVAR É PRECISO - UCHOA EM PRIMEIRO LUGAR,PSDB / PV / PSD / DEM / PDT,,,,,3
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2016,72133,11,,1,9445,-20.951099,-49.171299,SP,UCHOA,PREFEITO,COLIGACAO,PMDB,A MUDANÇA CONTINUA,PMDB / PRB / PMB / PPS / PSB / PTB,,,,,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,72133,11,20,0,9445,-20.951099,-49.171299,SP,UCHOA,PREFEITO,PARTIDO ISOLADO,PSC,#NULO#,PSC,3555604,4.2399998,.72100002,655.13,3
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,72150,11,,1,1599,-20.8862,-49.9025,SP,UNIÃO PAULISTA,PREFEITO,COLIGACAO,DEM,COM A FORÇA DO POVO,DEM / PDT,,,,,3
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,72150,11,,1,1599,-20.8862,-49.9025,SP,UNIÃO PAULISTA,PREFEITO,COLIGACAO,PSB,PSB/PTB/PMDB/PV,PSB / PTB / PMDB / PV,,,,,3
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2016,72150,11,,1,1599,-20.8862,-49.9025,SP,UNIÃO PAULISTA,PREFEITO,COLIGACAO,PP,PTN / PP / PROS / PPS / PSD,PP / PTN / PROS / PPS / PSD,,,,,3
0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,72176,11,,1,8803,-20.245501,-50.6455,SP,URÂNIA,PREFEITO,COLIGACAO,PTB,RENOVAÇÃO JÁ,PTB / PR / DEM / PSDB / PEN,,,,,3
